"lon","lat","layer","bioregion"
3.7,40.4,"bathypelagic",9
3.7,40.6,"bathypelagic",9
3.7,40.8,"bathypelagic",9
3.7,41,"bathypelagic",8
3.7,41.2,"bathypelagic",1
3.7,41.4,"bathypelagic",9
3.7,41.6,"bathypelagic",5
3.7,41.8,"bathypelagic",5
3.7,42,"bathypelagic",5
3.7,42.2,"bathypelagic",5
3.7,42.4,"bathypelagic",5
3.7,42.6,"bathypelagic",9
3.7,42.8,"bathypelagic",NA
3.7,43,"bathypelagic",NA
3.7,43.2,"bathypelagic",NA
3.9,37.2,"bathypelagic",9
3.9,37.4,"bathypelagic",9
3.9,37.6,"bathypelagic",9
3.9,37.8,"bathypelagic",9
3.9,38,"bathypelagic",9
3.9,38.2,"bathypelagic",9
3.9,38.4,"bathypelagic",9
3.9,38.6,"bathypelagic",9
3.9,38.8,"bathypelagic",5
3.9,39,"bathypelagic",5
3.9,39.2,"bathypelagic",5
3.9,39.4,"bathypelagic",9
3.9,39.6,"bathypelagic",9
3.9,39.8,"bathypelagic",5
3.9,40.2,"bathypelagic",NA
3.9,40.4,"bathypelagic",9
3.9,40.6,"bathypelagic",9
3.9,40.8,"bathypelagic",9
3.9,41,"bathypelagic",8
3.9,41.2,"bathypelagic",8
3.9,41.4,"bathypelagic",9
3.9,41.6,"bathypelagic",5
3.9,41.8,"bathypelagic",5
3.9,42,"bathypelagic",5
3.9,42.2,"bathypelagic",5
3.9,42.4,"bathypelagic",5
3.9,42.6,"bathypelagic",5
3.9,42.8,"bathypelagic",NA
3.9,43,"bathypelagic",NA
3.9,43.2,"bathypelagic",NA
4.1,37,"bathypelagic",9
4.1,37.2,"bathypelagic",9
4.1,37.4,"bathypelagic",9
4.1,37.6,"bathypelagic",9
4.1,37.8,"bathypelagic",9
4.1,38,"bathypelagic",9
4.1,38.2,"bathypelagic",9
4.1,38.4,"bathypelagic",9
4.1,38.6,"bathypelagic",9
4.1,38.8,"bathypelagic",5
4.1,39,"bathypelagic",5
4.1,39.2,"bathypelagic",5
4.1,39.4,"bathypelagic",9
4.1,39.6,"bathypelagic",9
4.1,40.2,"bathypelagic",NA
4.1,40.4,"bathypelagic",9
4.1,40.6,"bathypelagic",9
4.1,40.8,"bathypelagic",9
4.1,41,"bathypelagic",8
4.1,41.2,"bathypelagic",1
4.1,41.4,"bathypelagic",9
4.1,41.6,"bathypelagic",5
4.1,41.8,"bathypelagic",5
4.1,42,"bathypelagic",5
4.1,42.2,"bathypelagic",5
4.1,42.4,"bathypelagic",5
4.1,42.6,"bathypelagic",5
4.1,42.8,"bathypelagic",NA
4.1,43,"bathypelagic",NA
4.1,43.2,"bathypelagic",NA
4.3,37.2,"bathypelagic",9
4.3,37.4,"bathypelagic",9
4.3,37.6,"bathypelagic",9
4.3,37.8,"bathypelagic",9
4.3,38,"bathypelagic",9
4.3,38.2,"bathypelagic",9
4.3,38.4,"bathypelagic",9
4.3,38.6,"bathypelagic",5
4.3,38.8,"bathypelagic",5
4.3,39,"bathypelagic",5
4.3,39.2,"bathypelagic",9
4.3,39.4,"bathypelagic",9
4.3,39.6,"bathypelagic",9
4.3,40.2,"bathypelagic",8
4.3,40.4,"bathypelagic",8
4.3,40.6,"bathypelagic",8
4.3,40.8,"bathypelagic",9
4.3,41,"bathypelagic",1
4.3,41.2,"bathypelagic",9
4.3,41.4,"bathypelagic",5
4.3,41.6,"bathypelagic",5
4.3,41.8,"bathypelagic",5
4.3,42,"bathypelagic",5
4.3,42.2,"bathypelagic",5
4.3,42.4,"bathypelagic",5
4.3,42.6,"bathypelagic",5
4.3,42.8,"bathypelagic",NA
4.3,43,"bathypelagic",NA
4.3,43.2,"bathypelagic",NA
4.5,37,"bathypelagic",9
4.5,37.2,"bathypelagic",9
4.5,37.4,"bathypelagic",9
4.5,37.6,"bathypelagic",9
4.5,37.8,"bathypelagic",9
4.5,38,"bathypelagic",9
4.5,38.2,"bathypelagic",9
4.5,38.4,"bathypelagic",5
4.5,38.6,"bathypelagic",9
4.5,38.8,"bathypelagic",9
4.5,39,"bathypelagic",9
4.5,39.2,"bathypelagic",9
4.5,39.4,"bathypelagic",9
4.5,39.6,"bathypelagic",9
4.5,39.8,"bathypelagic",NA
4.5,40,"bathypelagic",9
4.5,40.2,"bathypelagic",8
4.5,40.4,"bathypelagic",8
4.5,40.6,"bathypelagic",8
4.5,40.8,"bathypelagic",8
4.5,41,"bathypelagic",9
4.5,41.2,"bathypelagic",9
4.5,41.4,"bathypelagic",5
4.5,41.6,"bathypelagic",5
4.5,41.8,"bathypelagic",5
4.5,42,"bathypelagic",5
4.5,42.2,"bathypelagic",5
4.5,42.4,"bathypelagic",5
4.5,42.6,"bathypelagic",5
4.5,42.8,"bathypelagic",9
4.5,43,"bathypelagic",NA
4.5,43.2,"bathypelagic",NA
4.7,37,"bathypelagic",9
4.7,37.2,"bathypelagic",9
4.7,37.4,"bathypelagic",9
4.7,37.6,"bathypelagic",9
4.7,37.8,"bathypelagic",9
4.7,38,"bathypelagic",9
4.7,38.2,"bathypelagic",9
4.7,38.4,"bathypelagic",9
4.7,38.6,"bathypelagic",9
4.7,38.8,"bathypelagic",9
4.7,39,"bathypelagic",9
4.7,39.2,"bathypelagic",9
4.7,39.4,"bathypelagic",9
4.7,39.6,"bathypelagic",9
4.7,39.8,"bathypelagic",9
4.7,40,"bathypelagic",9
4.7,40.2,"bathypelagic",8
4.7,40.4,"bathypelagic",8
4.7,40.6,"bathypelagic",8
4.7,40.8,"bathypelagic",9
4.7,41,"bathypelagic",5
4.7,41.2,"bathypelagic",9
4.7,41.4,"bathypelagic",5
