"lon","lat","layer","trophic","ecoregion"
3.9,42.8,"pelagic","primary producers",5
3.9,43,"pelagic","primary producers",2
3.9,43.2,"pelagic","primary producers",2
4.1,37,"pelagic","primary producers",1
4.1,37.2,"pelagic","primary producers",1
4.1,37.4,"pelagic","primary producers",1
4.1,37.6,"pelagic","primary producers",1
4.1,37.8,"pelagic","primary producers",1
4.1,38,"pelagic","primary producers",1
4.1,38.2,"pelagic","primary producers",1
4.1,38.4,"pelagic","primary producers",1
4.1,38.6,"pelagic","primary producers",1
4.1,38.8,"pelagic","primary producers",4
4.1,39,"pelagic","primary producers",4
4.1,39.2,"pelagic","primary producers",4
4.1,39.4,"pelagic","primary producers",4
4.1,39.6,"pelagic","primary producers",4
4.1,40.2,"pelagic","primary producers",6
4.1,40.4,"pelagic","primary producers",6
4.1,40.6,"pelagic","primary producers",6
4.1,40.8,"pelagic","primary producers",7
4.1,41,"pelagic","primary producers",3
4.1,41.2,"pelagic","primary producers",3
4.1,41.4,"pelagic","primary producers",3
4.1,41.6,"pelagic","primary producers",3
4.1,41.8,"pelagic","primary producers",3
4.1,42,"pelagic","primary producers",3
4.1,42.2,"pelagic","primary producers",3
4.1,42.4,"pelagic","primary producers",3
4.1,42.6,"pelagic","primary producers",3
4.1,42.8,"pelagic","primary producers",5
4.1,43,"pelagic","primary producers",2
